iter	Passed	Remaining
0	330	98960
1	515	76826
2	712	70519
3	878	65033
4	1065	62867
5	1309	64144
6	1497	62692
7	1947	71072
8	2172	70240
9	2448	70998
10	2640	69379
11	2870	68881
12	3090	68219
13	3333	68102
14	3541	67292
15	3716	65963
16	3930	65427
17	4136	64804
18	4348	64313
19	4596	64356
20	4794	63694
21	4987	63020
22	5198	62605
23	5432	62478
24	5662	62288
25	5903	62213
26	6125	61931
27	6315	61351
28	6537	61088
29	6768	60920
30	6989	60651
31	7195	60260
32	7375	59670
33	7582	59324
34	7763	58780
35	7977	58498
36	8196	58264
37	8446	58234
38	8648	57881
39	8874	57686
40	9137	57724
41	9389	57676
42	9595	57349
43	9802	57033
44	10023	56802
45	10396	57404
46	10689	57542
47	10889	57168
48	11153	57134
49	11411	57056
50	11513	56214
51	11753	56053
52	11837	55165
53	12088	55071
54	12328	54919
55	12541	54646
56	12754	54373
57	12967	54105
58	13179	53834
59	13409	53638
60	13703	53690
61	13932	53483
62	14149	53229
63	14404	53115
64	14653	52977
65	14857	52675
66	15033	52279
67	15195	51844
68	15261	51094
69	15462	50806
70	15648	50470
71	15840	50160
72	16038	49871
73	16136	49282
74	16341	49023
75	16573	48847
76	16767	48560
77	16946	48231
78	17140	47951
79	17348	47707
80	17560	47479
81	17755	47203
82	17965	46969
83	18137	46640
84	18268	46208
85	18439	45885
86	18598	45533
87	18796	45281
88	18990	45021
89	19191	44780
90	19399	44554
91	19578	44264
92	19777	44020
93	19930	43676
94	19998	43154
95	20193	42912
96	20382	42656
97	20563	42386
98	20770	42169
99	20963	41927
100	21135	41643
101	21283	41315
102	21502	41125
103	21725	40943
104	21939	40744
105	22199	40628
106	22387	40380
107	22604	40186
108	22829	40004
109	23014	39752
110	23247	39583
111	23426	39322
112	23513	38911
113	23689	38651
114	23887	38428
115	24092	38215
116	24301	38010
117	24554	37871
118	24661	37511
119	24955	37433
120	25152	37208
121	25368	37012
122	25556	36775
123	25744	36541
124	25906	36268
125	26093	36033
126	26299	35824
127	26538	35660
128	26742	35449
129	26943	35234
130	27225	35122
131	27376	34842
132	27606	34663
133	27836	34484
134	28064	34301
135	28281	34104
136	28541	33957
137	28792	33800
138	29019	33612
139	29279	33462
140	29505	33272
141	29676	33020
142	29972	32907
143	30285	32809
144	30530	32635
145	30737	32422
146	30953	32216
147	31145	31987
148	31354	31775
149	31498	31498
150	31680	31261
151	31785	30948
152	31992	30738
153	32206	30533
154	32451	30357
155	32688	30174
156	32937	30000
157	33167	29808
158	33391	29611
159	33566	29370
160	33760	29147
161	34014	28975
162	34237	28776
163	34459	28576
164	34698	28389
165	34910	28180
166	35088	27944
167	35328	27757
168	35567	27569
169	35790	27368
170	36040	27188
171	36315	27025
172	36497	26793
173	36728	26596
174	36914	26367
175	37157	26179
176	37430	26010
177	37545	25733
178	37775	25535
179	37956	25304
180	38166	25093
181	38356	24868
182	38604	24681
183	38813	24469
184	39022	24257
185	39259	24062
186	39408	23813
187	39629	23608
188	39860	23410
189	40095	23213
190	40314	23006
191	40533	22800
192	40756	22595
193	40967	22384
194	41224	22197
195	41451	21994
196	41641	21771
197	41855	21561
198	42013	21323
199	42234	21117
200	42434	20900
201	42580	20658
202	42743	20424
203	42993	20232
204	43293	20062
205	43528	19862
206	43741	19651
207	43982	19453
208	44246	19265
209	44526	19082
210	44796	18895
211	45074	18710
212	45309	18506
213	45541	18301
214	45788	18102
215	46002	17889
216	46303	17710
217	46573	17518
218	46860	17331
219	47180	17156
220	47427	16953
221	47779	16787
222	48057	16593
223	48305	16389
224	48554	16184
225	48780	15972
226	48998	15757
227	49199	15536
228	49372	15307
229	49553	15081
230	49744	14858
231	49944	14638
232	50091	14404
233	50292	14184
234	50474	13961
235	50719	13754
236	50941	13541
237	51132	13320
238	51280	13088
239	51493	12873
240	51694	12655
241	51899	12438
242	52122	12226
243	52376	12020
244	52604	11809
245	52826	11596
246	53068	11387
247	53273	11170
248	53451	10947
249	53640	10728
250	53856	10513
251	54062	10297
252	54260	10080
253	54525	9874
254	54765	9664
255	54971	9448
256	55155	9228
257	55330	9007
258	55530	8790
259	55749	8576
260	55926	8356
261	56141	8142
262	56321	7923
263	56547	7711
264	56727	7492
265	56954	7279
266	57273	7078
267	57592	6876
268	57894	6671
269	58158	6462
270	58444	6254
271	58692	6041
272	58929	5828
273	59176	5615
274	59463	5405
275	59776	5197
276	60074	4988
277	60314	4773
278	60537	4556
279	60847	4346
280	61138	4133
281	61443	3921
282	61681	3705
283	61973	3491
284	62234	3275
285	62451	3057
286	62776	2843
287	63078	2628
288	63338	2410
289	63578	2192
290	63792	1972
291	64031	1754
292	64276	1535
293	64529	1316
294	64723	1097
295	64974	878
296	65217	658
297	65415	439
298	65607	219
299	65861	0
